"time","ticker","bid","ask","last","open","close"
2015-10-26 16:03:05,"AAPL","115.20","115.21","115.21","118.08","119.08"
2015-10-27 08:01:04,"AAPL","115.90","115.94","115.28",NA,"115.28"
2015-10-27 09:30:05,"AAPL","115.69","115.71","115.69","115.40","115.28"
2015-10-27 09:59:06,"AAPL","115.93","115.94","115.9301","115.40","115.28"
2015-10-27 15:59:05,"AAPL","114.43","114.45","114.4399","115.40","115.28"
2015-10-27 16:03:04,"AAPL","114.35","114.46","114.55","115.40","115.28"
2015-10-28 08:01:05,"AAPL","115.94","115.99","114.55",NA,"114.55"
2015-10-28 09:30:05,"AAPL","117.00","117.03","117.00","116.93","114.55"
2015-10-28 09:59:08,"AAPL","116.75","116.76","116.755","116.93","114.55"
2015-10-28 15:59:05,"AAPL","119.18","119.19","119.19","116.93","114.55"
2015-10-28 16:03:04,"AAPL","119.19","119.28","119.28","116.93","114.55"
2015-10-29 08:01:05,"AAPL","118.27","118.35","119.27",NA,"119.27"
2015-10-29 09:30:06,"AAPL","118.72","118.75","118.73","118.70","119.27"
2015-10-29 09:59:05,"AAPL","118.55","118.56","118.56","118.70","119.27"
2015-10-29 15:59:05,"AAPL","120.49","120.50","120.50","118.70","119.27"
2015-10-29 16:03:05,"AAPL","120.52","120.53","120.53","118.70","119.27"
2015-10-30 08:01:04,"AAPL","120.81","120.82","120.53",NA,"120.53"
2015-10-30 09:30:06,"AAPL","121.00","121.03","121.00","120.99","120.53"
2015-10-30 15:59:04,"AAPL","119.64","119.65","119.65","120.99","120.53"
2015-10-30 16:03:05,"AAPL","119.59","119.69","119.50","120.99","120.53"
2015-11-02 15:59:05,"AAPL","121.13","121.14","121.14","119.87","119.50"
2015-11-02 16:03:04,"AAPL","121.17","121.19","121.18","119.87","119.50"
2015-11-03 08:01:05,"AAPL","120.72","120.78","121.18",NA,"121.18"
2015-11-03 09:30:05,"AAPL","120.78","120.82","120.78","120.79","121.18"
2015-11-03 09:59:09,"AAPL","121.47","121.49","121.47","120.79","121.18"
2015-11-03 15:59:04,"AAPL","122.55","122.56","122.55","120.79","121.18"
2015-11-03 16:03:05,"AAPL","122.49","122.58","122.57","120.79","121.18"
2015-11-04 08:01:04,"AAPL","123.03","123.07","122.57",NA,"122.57"
2015-11-04 09:30:05,"AAPL","123.09","123.11","123.056","123.13","122.57"
2015-11-04 09:59:06,"AAPL","123.31","123.33","123.32","123.13","122.57"
2015-11-04 15:59:05,"AAPL","121.91","121.93","121.92","123.13","122.57"
2015-11-04 16:03:05,"AAPL","121.93","122.00","122.00","123.13","122.57"
2015-11-05 09:30:05,"AAPL","121.85","121.87","121.87","121.85","121.48"
2015-11-05 09:59:05,"AAPL","122.47","122.48","122.47","121.85","121.48"
2015-11-05 15:59:05,"AAPL","120.92","120.93","120.93","121.85","121.48"
2015-11-05 16:03:04,"AAPL","120.81","120.89","120.92","121.85","121.48"
2015-11-06 08:01:05,"AAPL","121.30","121.35","120.92",NA,"120.92"
2015-11-06 09:30:04,"AAPL","121.10","121.11","121.10","121.11","120.92"
2015-11-06 09:59:06,"AAPL","121.00","121.02","121.0002","121.11","120.92"
2015-11-06 15:59:05,"AAPL","120.99","121.00","120.9901","121.11","120.92"
2015-11-09 08:01:04,"AAPL","120.63","120.69","121.06",NA,"121.06"
2015-11-09 09:30:05,"AAPL","120.79","120.83","120.805","120.96","121.06"
2015-11-09 09:59:05,"AAPL","121.49","121.50","121.4902","120.96","121.06"
2015-11-09 15:59:05,"AAPL","120.85","120.86","120.84","120.96","121.06"
2015-11-09 16:03:05,"AAPL","120.65","120.69","120.57","120.96","121.06"
2015-11-10 08:01:04,"AAPL","118.36","118.40","120.57",NA,"120.57"
2015-11-10 09:30:04,"AAPL","116.57","116.62","116.63","116.90","120.57"
2015-11-10 09:59:04,"AAPL","117.48","117.48","117.47","116.90","120.57"
2015-11-10 15:59:06,"AAPL","116.51","116.53","116.53","116.90","120.57"
2015-11-10 16:03:05,"AAPL","116.71","116.75","116.73","116.90","120.57"
2015-11-11 08:01:06,"AAPL","115.90","115.99","116.77",NA,"116.77"
2015-11-11 09:30:04,"AAPL","116.32","116.34","116.33","116.37","116.77"
2015-11-11 09:59:05,"AAPL","115.35","115.37","115.3636","116.37","116.77"
2015-11-11 15:59:04,"AAPL","116.26","116.27","116.26","116.37","116.77"
2015-11-11 16:03:05,"AAPL","116.11","116.13","116.12","116.37","116.77"
2015-11-12 08:01:04,"AAPL","115.85","115.89","116.11",NA,"116.11"
2015-11-12 09:30:05,"AAPL","116.04","116.06","116.05","116.26","116.11"
2015-11-12 09:59:04,"AAPL","116.05","116.06","116.06","116.26","116.11"
2015-11-12 15:59:04,"AAPL","115.83","115.84","115.84","116.26","116.11"
2015-11-12 16:03:05,"AAPL","115.72","115.81","115.72","116.26","116.11"
2015-11-13 08:01:05,"AAPL","115.25","115.28","115.72",NA,"115.72"
2015-11-13 09:30:05,"AAPL","115.19","115.20","115.1998","115.20","115.72"
2015-11-13 09:59:04,"AAPL","114.51","114.52","114.52","115.20","115.72"
2015-11-13 15:59:04,"AAPL","112.29","112.30","112.30","115.20","115.72"
2015-11-13 16:03:04,"AAPL","112.35","112.38","112.34","115.20","115.72"
2015-11-16 08:01:04,"AAPL","111.08","111.18","112.34",NA,"112.34"
2015-11-16 09:30:12,"AAPL","111.01","111.08","111.05","111.38","112.34"
2015-11-16 09:59:12,"AAPL","112.89","112.90","112.89","111.38","112.34"
2015-11-16 15:59:06,"AAPL","114.17","114.18","114.17","111.38","112.34"
2015-11-16 16:03:05,"AAPL","114.07","114.16","114.175","111.38","112.34"
2015-11-17 08:01:05,"AAPL","114.81","114.84","114.175",NA,"114.175"
2015-11-17 09:30:05,"AAPL","114.91","114.92","114.92","114.92","114.175"
2015-11-17 09:59:04,"AAPL","114.05","114.06","114.0501","114.92","114.175"
2015-11-17 15:59:05,"AAPL","113.69","113.70","113.69","114.92","114.175"
2015-11-17 16:03:04,"AAPL","113.66","113.70","113.69","114.92","114.175"
2015-11-18 09:30:05,"AAPL","115.88","115.90","115.90","115.76","113.69"
2015-11-18 09:59:05,"AAPL","117.13","117.14","117.13","115.76","113.69"
2015-11-18 15:59:05,"AAPL","117.36","117.37","117.36","115.76","113.69"
2015-11-18 16:03:05,"AAPL","117.27","117.29","117.29","115.76","113.69"
2015-11-19 08:01:06,"AAPL","117.30","117.34","117.29",NA,"117.29"
2015-11-19 09:30:06,"AAPL","117.65","117.67","117.6511","117.64","117.29"
2015-11-19 09:59:04,"AAPL","117.30","117.31","117.30","117.64","117.29"
2015-11-19 16:03:06,"AAPL","118.78","118.81","118.78","117.64","117.29"
2015-11-20 08:01:04,"AAPL","118.80","118.87","118.78",NA,"118.78"
2015-11-20 09:30:04,"AAPL","119.15","119.19","119.17","119.20","118.78"
2015-11-20 09:59:04,"AAPL","119.57","119.58","119.57","119.20","118.78"
